from \ to,:eql:type:`json <std::json>`,:eql:type:`str <std::str>`,:eql:type:`float32 <std::float32>`,:eql:type:`float64 <std::float64>`,:eql:type:`int16 <std::int16>`,:eql:type:`int32 <std::int32>`,:eql:type:`int64 <std::int64>`,:eql:type:`bigint <std::bigint>`,:eql:type:`decimal <std::decimal>`,:eql:type:`bool <std::bool>`,:eql:type:`bytes <std::bytes>`,:eql:type:`uuid <std::uuid>`,:eql:type:`datetime <std::datetime>`,:eql:type:`duration <std::duration>`,:eql:type:`local_date <cal::local_date>`,:eql:type:`local_datetime <cal::local_datetime>`,:eql:type:`local_time <cal::local_time>`,:eql:type:`relative_duration <cal::relative_duration>`,:eql:type:`date_duration <cal::date_duration>`,:eql:type:`enum`,object
:eql:type:`json <std::json>`,,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,
:eql:type:`str <std::str>`,``<>``,,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``:=``,
:eql:type:`float32 <std::float32>`,``<>``,``<>``,,impl,``<>*``,``<>*``,``<>*``,``<>*``,``<>``,,,,,,,,,,,,
:eql:type:`float64 <std::float64>`,``<>``,``<>``,``:=``,,``<>*``,``<>*``,``<>*``,``<>*``,``<>``,,,,,,,,,,,,
:eql:type:`int16 <std::int16>`,``<>``,``<>``,impl,impl,,impl,impl,impl,impl,,,,,,,,,,,,
:eql:type:`int32 <std::int32>`,``<>``,``<>``,,impl,``<>``,,impl,impl,impl,,,,,,,,,,,,
:eql:type:`int64 <std::int64>`,``<>``,``<>``,``:=``,impl,``:=``,``:=``,,impl,impl,,,,,,,,,,,,
:eql:type:`bigint <std::bigint>`,,,,,,,,,impl,,,,,,,,,,,,
:eql:type:`decimal <std::decimal>`,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,``<>``,,,,,,,,,,,,,
:eql:type:`bool <std::bool>`,``<>``,``<>``,,,,,,,,,,,,,,,,,,,
:eql:type:`bytes <std::bytes>`,``<>``,,,,,,,,,,,,,,,,,,,,
:eql:type:`uuid <std::uuid>`,``<>``,``<>``,,,,,,,,,,,,,,,,,,,``<>``
:eql:type:`datetime <std::datetime>`,``<>``,``<>``,,,,,,,,,,,,,,,,,,,
:eql:type:`duration <std::duration>`,``<>``,``<>``,,,,,,,,,,,,,,,,``<>``,,,
:eql:type:`local_date <cal::local_date>`,``<>``,``<>``,,,,,,,,,,,,,,impl,,,,,
:eql:type:`local_datetime <cal::local_datetime>`,``<>``,``<>``,,,,,,,,,,,,,``<>``,,``<>``,,,,
:eql:type:`local_time <cal::local_time>`,``<>``,``<>``,,,,,,,,,,,,,,,,,,,
:eql:type:`relative_duration <cal::relative_duration>`,``<>``,``<>``,,,,,,,,,,,,``<>``,,,,,``<>``,,
:eql:type:`date_duration <cal::date_duration>`,``<>``,``<>``,,,,,,,,,,,,,,,,impl,,,
:eql:type:`enum`,``<>``,``<>``,,,,,,,,,,,,,,,,,,,
object,``<>``,,,,,,,,,,,,,,,,,,,,
